B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
Attention(FMHA),fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ16Kv128Persist,23,19.7,0.0,,mla_decode,aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps,25.53,
,,,,,,,"void kn_mla_reduce_v1_ps<MlaReduceKernelV1Traits<512, 16, 1>, float, std::bfloat16_t>(MlaReduceKernelV1Params)",7.20,MI355X only (mla_attn)
uv_gemm(V_expansion),nvjet_tst_64x32_64x16_2x2_2cta_h_bz_TNT,23,3.9,0.0,,v_up_proj_and_o_proj,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_64_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG,6.56,
o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,2.2,0.0,,,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x64x128_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LBSPPA512_LBSPPB512_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT2_2_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW2_SK3_SKXCCM8_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA2_VWB2_WSGRA0_WSGRB0_WS64_WG32_8_1,21.36,
o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,23,9.5,0.0,EP_AR+residual+RMSNorm(fused)(pdl):0.2μs,,,,B200 only
,,,,,,triton_poi_fused_as_strided_clone_copy__0,triton_poi_fused_as_strided_clone_copy__0,5.49,MI355X only (mla_transpose)
EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,23,11.0,9.2,router_GEMM(dual_stream):9.2μs | o_proj_GEMM(pdl):0.2μs,post_attn_layernorm,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 4>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)",20.01,
,,,,,,,"void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",5.67,MI355X only (comm_pre_moe)
,,,,,,triton_poi_fused_as_strided_clone_1,triton_poi_fused_as_strided_clone_1,5.47,MI355X only (comm_pre_moe)
router_GEMM,nvjet_tst_64x32_64x16_2x2_2cta_h_bz_splitK_TNT,385,13.5,12.9,EP_AR+residual+RMSNorm(fused)(dual_stream):9.2μs | shared_quant(BF16→FP4)(dual_stream):2.5μs | router_splitK_reduce(pdl):1.4μs | shared_GEMM(FP4)(dual_stream):1.2μs,gemm_a16w16,aiter::bf16gemm_fp32bf16_tn_64x64_splitk_clean,9.25,
