req_id,output_len,ttft_ms,tpot_ms,decode_time_ms,e2e_latency_ms
243,976,186.86,25.57,24958.68,25145.55
244,828,161.59,24.28,20107.69,20269.28
245,934,100.34,25.42,23743.74,23844.08
246,1019,94.99,25.64,26126.51,26221.50
247,952,95.21,25.52,24297.16,24392.37
248,935,94.89,25.60,23932.01,24026.90
249,1000,96.81,25.60,25599.10,25695.92
250,1012,136.09,25.51,25817.58,25953.67
251,862,138.22,25.11,21645.93,21784.16
252,898,98.32,25.23,22660.26,22758.58
253,881,96.73,25.17,22174.10,22270.83
254,895,97.90,25.57,22888.74,22986.64
255,866,96.13,25.50,22083.26,22179.38
256,895,93.72,25.77,23060.41,23154.13
257,968,94.08,25.73,24911.02,25005.10
258,939,98.86,25.67,24102.74,24201.59
259,837,95.12,25.87,21650.16,21745.28
260,908,95.90,25.74,23371.75,23467.66
261,832,99.56,25.82,21482.81,21582.37
262,911,98.77,25.79,23493.68,23592.45
263,924,99.22,25.86,23895.21,23994.43
264,825,94.34,25.71,21208.08,21302.41
265,919,94.39,25.96,23853.69,23948.08
266,867,139.01,25.74,22316.27,22455.28
267,859,149.09,25.63,22012.37,22161.46
268,973,97.08,26.40,25684.20,25781.29
269,977,95.05,26.60,25990.57,26085.62
270,952,95.30,26.38,25112.46,25207.76
271,962,155.69,26.38,25378.52,25534.21
272,1010,154.51,26.60,26864.55,27019.06
273,856,199.47,25.43,21770.33,21969.79
274,878,197.28,25.55,22431.03,22628.31
275,932,152.37,25.95,24189.19,24341.57
276,914,137.19,25.85,23624.89,23762.09
277,915,95.54,25.90,23699.58,23795.12
278,851,92.90,25.32,21549.03,21641.93
279,881,154.59,25.28,22274.77,22429.36
280,957,132.34,26.18,25050.17,25182.50
281,959,144.53,26.10,25029.30,25173.83
282,912,159.40,25.79,23519.05,23678.45
283,883,101.40,25.56,22572.93,22674.33
284,976,118.25,26.25,25623.81,25742.06
285,909,113.34,25.67,23336.55,23449.88
286,969,96.35,26.29,25478.58,25574.93
287,966,95.26,26.25,25356.34,25451.60
288,952,95.18,25.94,24692.72,24787.90
289,855,113.32,25.11,21469.50,21582.82
290,902,96.38,25.61,23103.00,23199.37
291,946,93.95,26.28,24862.42,24956.36
292,824,141.42,24.60,20270.63,20412.05
293,911,178.46,25.61,23334.91,23513.37
294,1023,121.51,26.51,27118.49,27240.00
295,973,101.05,26.24,25535.34,25636.39
296,902,95.21,25.57,23068.08,23163.29
297,959,140.76,26.01,24942.45,25083.20
298,954,138.61,25.94,24751.30,24889.91
299,999,100.67,26.37,26347.79,26448.46
300,899,96.81,25.58,22997.78,23094.59
301,976,100.79,26.17,25537.78,25638.58
302,819,99.14,24.71,20235.08,20334.22
303,893,99.64,25.58,22842.79,22942.43
304,950,156.13,25.96,24664.94,24821.06
305,880,137.10,25.26,22231.83,22368.94
306,886,94.38,25.63,22711.14,22805.53
307,963,97.38,26.17,25202.93,25300.31
308,931,92.68,26.00,24205.36,24298.04
309,1020,147.21,26.02,26539.56,26686.77
310,903,135.74,25.79,23286.55,23422.29
311,935,100.03,26.12,24418.95,24518.98
312,875,115.42,25.43,22251.87,22367.29
313,881,109.33,25.62,22569.47,22678.80
314,1003,142.99,25.87,25943.74,26086.72
315,867,133.91,25.41,22028.66,22162.57
316,964,95.14,25.77,24837.58,24932.71
317,936,97.51,25.88,24225.92,24323.42
318,1004,93.77,25.76,25858.34,25952.11
319,828,93.73,25.89,21439.22,21532.95
320,1009,147.20,26.33,26569.26,26716.47
321,898,98.78,26.34,23652.73,23751.51
322,980,94.41,26.31,25780.77,25875.19
323,951,95.15,26.51,25210.37,25305.52
324,963,94.41,26.59,25602.80,25697.21
325,890,96.19,26.40,23500.25,23596.44
326,881,96.80,26.34,23205.90,23302.69
327,842,98.83,26.32,22162.90,22261.73
328,910,94.88,26.47,24091.82,24186.70
329,929,98.58,26.51,24623.35,24721.93
330,826,96.34,26.27,21697.25,21793.59
331,841,97.43,26.34,22155.56,22252.99
332,917,96.85,26.64,24426.83,24523.67
333,977,96.80,26.97,26345.32,26442.12
334,899,100.52,26.46,23785.28,23885.80
335,974,136.73,26.93,26234.60,26371.33
336,866,136.03,26.42,22877.29,23013.32
337,933,116.30,26.51,24729.99,24846.29
338,830,99.46,25.94,21531.90,21631.36
339,897,98.87,26.18,23481.38,23580.26
340,849,104.99,26.05,22112.63,22217.62
341,909,105.77,26.31,23914.27,24020.04
342,853,94.66,26.10,22265.75,22360.41
343,873,97.28,26.01,22709.63,22806.91
344,900,142.32,26.31,23678.11,23820.43
345,982,184.30,26.57,26087.87,26272.17
346,890,163.98,25.96,23105.66,23269.63
347,928,95.71,26.32,24427.16,24522.87
348,878,97.90,26.06,22881.19,22979.08
349,931,100.63,26.30,24488.13,24588.76
350,984,98.56,26.55,26124.30,26222.86
351,887,101.55,26.10,23153.50,23255.05
352,1000,97.36,26.65,26651.56,26748.92
353,832,97.28,25.64,21336.40,21433.68
354,920,140.54,26.16,24068.97,24209.51
355,838,132.65,25.75,21574.79,21707.44
356,926,100.88,26.25,24305.79,24406.67
357,827,141.02,25.44,21041.10,21182.12
358,915,134.83,25.97,23763.24,23898.06
359,1016,142.25,26.40,26821.96,26964.20
360,943,178.94,26.00,24516.15,24695.09
361,919,128.74,25.96,23856.38,23985.13
362,948,96.91,26.00,24650.08,24747.00
363,976,95.18,26.15,25525.98,25621.17
364,952,97.90,26.31,25044.23,25142.13
365,987,139.42,26.40,26056.26,26195.68
366,969,138.75,26.22,25403.58,25542.33
367,849,136.51,25.52,21666.59,21803.10
368,838,133.48,25.47,21344.93,21478.41
369,823,99.95,25.32,20836.92,20936.87
370,967,97.19,26.10,25237.38,25334.57
371,925,97.29,25.85,23910.21,24007.50
372,893,98.72,25.72,22965.86,23064.58
373,942,95.68,26.01,24505.89,24601.57
374,1014,99.92,25.99,26351.44,26451.36
375,879,147.62,25.51,22427.07,22574.69
376,912,134.01,25.76,23492.00,23626.01
377,988,101.17,25.86,25546.90,25648.07
378,859,97.29,25.37,21794.47,21891.76
379,1007,94.68,25.80,25980.76,26075.45
380,998,97.66,25.83,25775.23,25872.89
381,859,98.74,25.97,22309.17,22407.91
382,878,98.09,25.94,22772.46,22870.55
383,848,98.20,26.11,22143.80,22242.00
384,913,100.80,26.60,24281.39,24382.19
385,984,95.20,25.81,25400.73,25495.93
386,945,101.95,25.83,24405.48,24507.44
387,835,99.46,25.88,21610.94,21710.40
388,918,96.74,25.70,23594.94,23691.68
389,986,95.05,25.78,25415.90,25510.95
390,976,100.29,25.89,25265.09,25365.38
391,884,96.90,25.58,22609.48,22706.38
392,842,95.33,25.60,21558.93,21654.26
393,1019,139.59,26.02,26519.30,26658.89
394,947,130.97,25.63,24274.26,24405.22
395,906,94.89,25.53,23134.70,23229.59
396,856,98.41,25.48,21807.89,21906.30
397,930,96.52,25.77,23962.58,24059.10
398,1010,140.84,26.17,26427.92,26568.76
399,973,158.42,25.83,25134.20,25292.62
400,908,95.26,25.59,23234.99,23330.25
401,953,98.88,25.66,24457.08,24555.96
402,920,141.41,25.62,23567.92,23709.32
403,860,127.88,25.24,21708.77,21836.65
404,964,98.05,26.10,25160.93,25258.98
405,931,99.95,25.75,23976.47,24076.42
406,862,101.16,25.44,21927.31,22028.47
407,929,94.45,25.70,23871.59,23966.04
408,1016,184.35,26.33,26746.33,26930.68
409,937,182.42,25.59,23981.67,24164.09
410,966,181.82,25.90,25023.04,25204.86
411,841,95.11,24.88,20926.37,21021.48
412,928,97.38,25.50,23667.43,23764.81
413,958,95.28,25.95,24863.00,24958.27
414,830,100.45,25.19,20911.06,21011.51
415,980,96.60,26.37,25841.80,25938.39
416,954,97.76,26.03,24836.34,24934.10
417,938,95.22,25.91,24302.01,24397.23
418,845,98.27,25.07,21183.70,21281.97
419,867,94.90,25.27,21911.31,22006.21
420,1018,133.89,26.26,26728.66,26862.55
421,1001,134.77,26.19,26212.33,26347.11
422,915,100.89,25.75,23560.95,23661.84
423,919,140.46,25.83,23733.57,23874.03
424,901,135.99,25.52,22991.11,23127.10
425,906,97.74,25.93,23496.56,23594.30
426,968,99.07,26.08,25244.53,25343.60
427,821,98.31,25.06,20574.88,20673.19
428,827,96.77,25.19,20835.98,20932.75
429,829,158.22,25.26,20940.41,21098.63
430,824,131.03,25.16,20734.79,20865.81
431,857,95.29,25.45,21813.22,21908.51
432,985,135.53,25.84,25452.38,25587.91
433,919,131.87,25.72,23635.93,23767.80
434,1012,95.88,25.99,26300.51,26396.38
435,936,96.19,25.79,24136.65,24232.84
436,878,137.18,25.58,22460.21,22597.38
437,983,155.53,25.81,25370.55,25526.08
438,952,134.75,25.70,24467.67,24602.41
439,824,135.15,25.34,20877.50,21012.64
440,857,133.86,25.33,21711.46,21845.31
