index,timestamp_us,duration_us,type
18234,1073481593961.0,10.5,small
18235,1073481594013.8,24.9,big
18236,1073481594084.8,9.9,small
18237,1073481594133.1,24.7,big
18238,1073481594202.9,11.5,small
18239,1073481594273.4,14.4,small
18240,1073481594336.2,8.6,small
18241,1073481594381.3,27.5,big
18242,1073481594454.2,11.1,small
18243,1073481594534.6,8.4,small
18244,1073481594589.4,7.5,small
18245,1073481594647.4,24.0,big
18246,1073481594719.6,8.0,small
18247,1073481594779.0,15.4,big
18248,1073481594840.7,8.4,small
18249,1073481594904.3,9.4,small
18250,1073481594960.6,7.9,small
18251,1073481595005.7,31.7,big
18252,1073481595082.9,10.2,small
18253,1073481595139.8,17.8,big
18254,1073481595204.4,8.5,small
18255,1073481595251.8,26.1,big
18256,1073481595323.8,9.7,small
18257,1073481595374.3,25.8,big
18258,1073481595445.1,10.7,small
18259,1073481595512.1,8.8,small
18260,1073481595567.5,8.3,small
18261,1073481595623.5,17.1,big
18262,1073481595687.4,7.9,small
18263,1073481595741.7,18.5,big
18264,1073481595808.1,7.9,small
18265,1073481595854.7,32.4,big
18266,1073481595932.9,9.5,small
18267,1073481595988.5,27.7,big
18268,1073481596063.1,8.5,small
18269,1073481596130.3,8.9,small
18270,1073481596186.4,8.3,small
18271,1073481596515.6,7.8,small
18272,1073481596550.2,9.3,small
18273,1073481596604.4,8.5,small
18274,1073481596639.5,9.5,small
18275,1073481596694.7,7.7,small
18276,1073481596728.9,9.2,small
18277,1073481596793.7,6.5,small
18278,1073481596851.3,29.8,big
18279,1073481596928.6,8.7,small
18280,1073481596992.2,8.6,small
18281,1073481597048.5,6.7,small
18282,1073481597099.6,25.6,big
18283,1073481597172.1,10.3,small
18284,1073481597222.0,33.1,big
18285,1073481597301.8,10.1,small
18286,1073481597353.4,28.0,big
18287,1073481597428.6,9.2,small
18288,1073481597488.6,17.5,big
18289,1073481597552.5,8.7,small
18290,1073481597616.2,9.0,small
18291,1073481597671.8,8.1,small
18292,1073481597720.4,26.9,big
18293,1073481597791.5,10.8,small
18294,1073481597862.0,13.4,small
18295,1073481597923.0,9.1,small
18296,1073481597983.9,16.7,big
18297,1073481598048.5,7.6,small
18298,1073481598113.7,7.8,small
18299,1073481598168.9,8.4,small
18300,1073481598234.7,8.8,small
18301,1073481598291.5,6.6,small
18302,1073481598349.0,20.4,big
18303,1073481598416.2,8.2,small
18304,1073481598463.5,27.8,big
18305,1073481598535.9,10.2,small
18306,1073481598601.6,8.9,small
18307,1073481598658.5,7.5,small
18308,1073481598700.6,34.9,big
18309,1073481598780.0,10.6,small
18310,1073481598840.6,14.0,small
18311,1073481598900.5,9.6,small
18312,1073481598947.9,27.8,big
18313,1073481599020.8,10.5,small
18314,1073481599094.8,7.9,small
18315,1073481599149.6,7.0,small
18316,1073481599217.6,7.7,small
18317,1073481599271.0,8.4,small
18318,1073481599334.8,14.7,small
18319,1073481599397.8,8.0,small
18320,1073481599447.8,27.9,big
18321,1073481599522.2,8.5,small
18322,1073481599576.8,18.0,big
18323,1073481599642.2,8.9,small
18324,1073481599701.7,13.9,small
18325,1073481599763.8,10.5,small
18326,1073481599838.6,8.1,small
18327,1073481599894.3,8.1,small
18328,1073481599949.3,22.1,big
18329,1073481600018.5,8.5,small
18330,1073481600063.4,36.3,big
18331,1073481600145.6,11.3,small
18332,1073481600206.7,13.4,small
18333,1073481600266.0,10.5,small
18334,1073481600337.3,7.3,small
18335,1073481600391.4,8.3,small
18336,1073481600455.4,16.7,big
18337,1073481600520.0,9.1,small
18338,1073481600566.7,30.9,big
18339,1073481600641.4,11.2,small
18340,1073481600691.1,29.2,big
18341,1073481600766.7,10.0,small
18342,1073481600818.9,23.7,big
18343,1073481600887.7,11.2,small
18344,1073481600962.5,8.2,small
18345,1073481601017.0,8.1,small
18346,1073481601070.8,18.0,big
18347,1073481601135.4,9.3,small
18348,1073481601210.2,8.0,small
18349,1073481601265.6,8.6,small
18350,1073481601329.8,13.3,small
18351,1073481601389.8,8.2,small
18352,1073481601442.1,24.1,big
18353,1073481601514.8,8.2,small
18354,1073481601563.6,25.4,big
18355,1073481601637.5,8.5,small
18356,1073481601707.1,9.3,small
18357,1073481601763.7,9.0,small
18358,1073481601818.9,22.3,big
18359,1073481601888.4,9.1,small
18360,1073481601947.8,14.7,small
18361,1073481602010.9,8.9,small
18362,1073481602067.0,21.4,big
18363,1073481602136.5,8.0,small
18364,1073481602206.9,7.4,small
18365,1073481602261.3,7.6,small
18366,1073481602318.0,15.4,big
18367,1073481602381.3,9.5,small
18368,1073481602442.3,15.0,big
18369,1073481602504.0,8.0,small
18370,1073481602568.0,17.9,big
18371,1073481602632.8,7.8,small
18372,1073481602678.7,27.6,big
18373,1073481602751.6,10.8,small
18374,1073481602814.4,16.1,big
18375,1073481602877.6,7.7,small
18376,1073481602931.7,23.3,big
18377,1073481603001.9,8.5,small
18378,1073481603057.6,18.6,big
18379,1073481603124.2,7.2,small
18380,1073481603178.7,21.8,big
18381,1073481603247.6,8.5,small
18382,1073481603291.9,35.6,big
18383,1073481603370.8,12.3,small
18384,1073481603420.9,28.3,big
18385,1073481603494.6,9.7,small
18386,1073481603550.2,23.6,big
18387,1073481603621.4,8.0,small
18388,1073481603675.8,17.0,big
18389,1073481603739.5,8.4,small
18390,1073481603795.4,14.2,small
18391,1073481603856.4,8.2,small
18392,1073481604176.2,8.6,small
18393,1073481604211.7,9.3,small
18394,1073481604265.8,8.4,small
18395,1073481604301.1,8.9,small
18396,1073481604355.0,8.4,small
18397,1073481604389.4,8.8,small
18398,1073481604444.6,12.9,small
18399,1073481604504.8,19.1,big
18400,1073481604571.1,8.7,small
18401,1073481604629.2,9.5,small
18402,1073481604685.5,8.1,small
18403,1073481604740.2,19.9,big
18404,1073481604807.7,9.2,small
18405,1073481604866.8,16.7,big
18406,1073481604931.3,8.7,small
18407,1073481604995.8,13.7,small
18408,1073481605056.5,8.4,small
18409,1073481605119.9,9.1,small
18410,1073481605176.1,8.8,small
18411,1073481605242.2,8.4,small
18412,1073481605297.4,7.5,small
18413,1073481605347.2,21.7,big
18414,1073481605415.3,8.7,small
18415,1073481605470.3,26.0,big
18416,1073481605541.3,11.7,small
18417,1073481605617.2,8.4,small
18418,1073481605672.6,7.1,small
18419,1073481605735.7,12.5,small
18420,1073481605794.8,14.2,small
18421,1073481605872.9,10.0,small
18422,1073481605930.0,8.4,small
18423,1073481605988.9,17.9,big
18424,1073481606053.5,8.0,small
18425,1073481606107.8,18.6,big
18426,1073481606170.5,11.7,small
18427,1073481606233.2,22.0,big
18428,1073481606303.2,8.5,small
18429,1073481606361.9,22.1,big
18430,1073481606430.1,9.0,small
18431,1073481606485.7,18.0,big
18432,1073481606550.2,7.6,small
18433,1073481606596.6,35.6,big
18434,1073481606677.3,11.1,small
18435,1073481606739.7,21.3,big
18436,1073481606807.8,8.0,small
18437,1073481606862.4,21.2,big
